"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","rt","view_history","shapes","occluder","options","response","RT","confidence","confidence_RT"
"","","","","","instructions","2","40824","0.0-2.0","665ca2f40cef08da33075320","65c50b3547f20f00b2aeeb58","665ca925f76e8e04ef2989f7","37671","[{""page_index"":0,""viewing_time"":3839},{""page_index"":1,""viewing_time"":11184},{""page_index"":2,""viewing_time"":16992},{""page_index"":3,""viewing_time"":3584},{""page_index"":4,""viewing_time"":2072}]","","","","","","",""
"","","","","","jsShapes","3","63572","0.0-3.0-0.0","665ca2f40cef08da33075320","65c50b3547f20f00b2aeeb58","665ca925f76e8e04ef2989f7","","","[2,2]","right","[1,4]","1","14859.400000002235","0.9074074074074074","7878.89999999851"
"","","","","","jsShapes","4","69038","0.0-3.0-0.1","665ca2f40cef08da33075320","65c50b3547f20f00b2aeeb58","665ca925f76e8e04ef2989f7","","","[0,1]","right","[1,2]","0","2849.699999999255","1","2599.300000000745"
"","","","","","jsShapes","5","80572","0.0-3.0-0.2","665ca2f40cef08da33075320","65c50b3547f20f00b2aeeb58","665ca925f76e8e04ef2989f7","","","[0,1]","left","[4,0]","1","8024.29999999702","0.6458333333333333","3494.60000000149"
"","","","","","jsShapes","6","85988","0.0-3.0-0.3","665ca2f40cef08da33075320","65c50b3547f20f00b2aeeb58","665ca925f76e8e04ef2989f7","","","[2,3]","left","[0,2]","1","3547.199999999255","0","1862.6000000014901"
"","","","","","jsShapes","7","89888","0.0-3.0-0.4","665ca2f40cef08da33075320","65c50b3547f20f00b2aeeb58","665ca925f76e8e04ef2989f7","","","[0,1]","right","[1,3]","0","2349.099999997765","1","1534.300000000745"
"","","","","","jsShapes","8","94405","0.0-3.0-0.5","665ca2f40cef08da33075320","65c50b3547f20f00b2aeeb58","665ca925f76e8e04ef2989f7","","","[0,1]","left","[2,0]","1","3158.7000000029802","0.7615740740740741","1350.5"
"","","","","","jsShapes","9","105071","0.0-3.0-0.6","665ca2f40cef08da33075320","65c50b3547f20f00b2aeeb58","665ca925f76e8e04ef2989f7","","","[3,3]","right","[1,0]","1","9385.79999999702","0","1278.7000000029802"
"","","","","","jsShapes","10","109621","0.0-3.0-0.7","665ca2f40cef08da33075320","65c50b3547f20f00b2aeeb58","665ca925f76e8e04ef2989f7","","","[2,3]","left","[0,2]","1","3223.300000000745","0","1310.3999999985099"
"","","","","","jsShapes","11","117438","0.0-3.0-0.8","665ca2f40cef08da33075320","65c50b3547f20f00b2aeeb58","665ca925f76e8e04ef2989f7","","","[0,1]","left","[4,0]","1","5585.300000000745","0.8101851851851851","2222.60000000149"
"","","","","","jsShapes","12","121171","0.0-3.0-0.9","665ca2f40cef08da33075320","65c50b3547f20f00b2aeeb58","665ca925f76e8e04ef2989f7","","","[1,4]","left","[0,3]","1","2616.60000000149","0","1110.6000000014901"
"","","","","","jsShapes","13","126788","0.0-3.0-0.10","665ca2f40cef08da33075320","65c50b3547f20f00b2aeeb58","665ca925f76e8e04ef2989f7","","","[4,4]","right","[0,1]","0","3763.2999999970198","0","1839.2000000029802"
"","","","","","jsShapes","14","130854","0.0-3.0-0.11","665ca2f40cef08da33075320","65c50b3547f20f00b2aeeb58","665ca925f76e8e04ef2989f7","","","[0,1]","right","[1,2]","0","2410.900000002235","1","1638.8999999985099"
"","","","","","jsShapes","15","134821","0.0-3.0-0.12","665ca2f40cef08da33075320","65c50b3547f20f00b2aeeb58","665ca925f76e8e04ef2989f7","","","[3,3]","left","[0,1]","1","2640","0","1310.800000000745"
"","","","","","jsShapes","16","138521","0.0-3.0-0.13","665ca2f40cef08da33075320","65c50b3547f20f00b2aeeb58","665ca925f76e8e04ef2989f7","","","[0,1]","left","[0,3]","0","2433.39999999851","0.8402777777777778","1262.699999999255"
"","","","","","jsShapes","17","142188","0.0-3.0-0.14","665ca2f40cef08da33075320","65c50b3547f20f00b2aeeb58","665ca925f76e8e04ef2989f7","","","[0,1]","right","[1,3]","0","2304.10000000149","1","1350.5"
"","","","","","jsShapes","18","147404","0.0-3.0-0.15","665ca2f40cef08da33075320","65c50b3547f20f00b2aeeb58","665ca925f76e8e04ef2989f7","","","[2,2]","right","[0,1]","1","3034.800000000745","0","2174.60000000149"
"","","","","","survey-text","19","234791","0.0-4.0","665ca2f40cef08da33075320","65c50b3547f20f00b2aeeb58","665ca925f76e8e04ef2989f7","87383","","","","","{""worker_comments"":""Can't know anything for certain even when using logic, it's still unknown until revealed. Schrodinger's cat""}","","",""
"","","","","","instructions","20","238024","0.0-5.0","665ca2f40cef08da33075320","65c50b3547f20f00b2aeeb58","665ca925f76e8e04ef2989f7","3233","[{""page_index"":0,""viewing_time"":3233}]","","","","","","",""
"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","rt","view_history","shapes","occluder","options","response","RT","confidence","confidence_RT"
"true","false","[]","[]","[]","preload","0","58","0.0-0.0","665ca2f40cef08da33075320","636d39168fe0bc0570ee8da0","665ca9460bf7190c2e8bab70","","","","","","","","",""
"true","","","","","fullscreen","1","10774","0.0-1.0","665ca2f40cef08da33075320","636d39168fe0bc0570ee8da0","665ca9460bf7190c2e8bab70","9695","","","","","","","",""
